time	ymintpow	YQ_i_AKNP_chan_11	YQ_i_AKNP_chan_12	YQ_i_AKNP_chan_13	YQ_W_AKNP_11	YQ_AKPM_WT_11	offset_svrk	offset_akpm
166200.296875	99.77101135253906	2635401728.0	2981563904.0	1430745280.0	98.87409973144531	92.94845581054688	4.0684075355529785	-29.246318340301514
166800.296875	99.77108764648438	2634183680.0	2981456128.0	1431734464.0	98.86082458496094	92.941650390625	4.099593162536621	-29.203957319259644
167400.296875	99.77104187011719	2633412096.0	2981365504.0	1432360768.0	98.85240936279297	92.9291763305664	4.145925521850586	-29.177355766296387
168000.296875	99.77104187011719	2632461312.0	2981350912.0	1433432384.0	98.84491729736328	92.92127227783203	4.178614139556885	-29.14089858531952
168600.296875	99.77110290527344	2631719168.0	2981261312.0	1434047488.0	98.83694458007812	92.91422271728516	4.219946384429932	-29.115208983421326
169200.296875	99.77106475830078	2630868736.0	2981254144.0	1435016064.0	98.83033752441406	92.90672302246094	4.264599323272705	-29.082441329956055
169800.296875	99.77101135253906	2629932032.0	2981250304.0	1436092160.0	98.82315063476562	92.9005126953125	4.302279949188232	-29.04621660709381
170400.296875	99.77118682861328	2629075456.0	2981189632.0	1436915136.0	98.81503295898438	92.89375305175781	4.345309734344482	-29.015111923217773
171000.296875	99.77100372314453	2628170496.0	2981154048.0	1437863552.0	98.80722045898438	92.88614654541016	4.381899356842041	-28.981229662895203
171600.296875	99.77092742919922	2627361280.0	2981087232.0	1438615296.0	98.79930114746094	92.87879180908203	4.416572570800781	-28.952163457870483
172200.296875	99.77107238769531	2626610944.0	2981105408.0	1439576704.0	98.79449462890625	92.871337890625	4.457822799682617	-28.922012448310852
172800.296875	99.77113342285156	2625756160.0	2981109504.0	1440596352.0	98.78829956054688	92.86682891845703	4.493556022644043	-28.88852059841156
173400.296875	99.77092742919922	2624965888.0	2981085952.0	1441451136.0	98.78173065185547	92.86100769042969	4.532675266265869	-28.85860800743103
174000.296875	99.77096557617188	2624168704.0	2981085184.0	1442372672.0	98.77566528320312	92.85482025146484	4.57401704788208	-28.827661275863647
174600.296875	99.77108764648438	2623290112.0	2981052672.0	1443296000.0	98.76810455322266	92.84912109375	4.604574203491211	-28.79469096660614
175200.296875	99.77102661132812	2622605824.0	2981009408.0	1443963968.0	98.76171875	92.8420181274414	4.638575077056885	-28.76964807510376
175800.296875	99.77101135253906	2621892352.0	2980991744.0	1444738112.0	98.75580596923828	92.83602142333984	4.673455238342285	-28.742563724517822
176400.296875	99.77103424072266	2621149184.0	2980969472.0	1445531072.0	98.74952697753906	92.83045196533203	4.715423107147217	-28.714504837989807
177000.296875	99.77108764648438	2620308992.0	2980985600.0	1446543552.0	98.7435302734375	92.82455444335938	4.750594139099121	-28.681334853172302
177600.296875	99.77104187011719	2619536128.0	2980928256.0	1447273344.0	98.736083984375	92.81892395019531	4.779487609863281	-28.65334153175354
178200.296875	99.77101135253906	2618882816.0	2980888576.0	1447912640.0	98.7300033569336	92.81192016601562	4.814632415771484	-28.629374504089355
178800.296875	99.77106475830078	2618163200.0	2980887296.0	1448751296.0	98.72459411621094	92.80620574951172	4.8415985107421875	-28.601357340812683
179400.296875	99.77101135253906	2617555968.0	2980848640.0	1449360128.0	98.71908569335938	92.80111694335938	4.881485462188721	-28.578969836235046
180000.296875	99.7708969116211	2616771072.0	2980887296.0	1450389184.0	98.71428680419922	92.79594421386719	4.912149429321289	-28.546971082687378
